[main] utils.openSim loaded via importlib: <module 'utils.openSim' from 'C:\\Git\\msk_modelling_python\\msk_modelling_python\\utils\\openSim.py'>
[GUI] Importing main_window...
2026-06-10 09:20:41 - INFO - [GUI] Importing main_window...
[GUI] Starting GUI...
2026-06-10 09:20:42 - INFO - [GUI] Starting GUI...
[main_window] Creating MainWindow...
2026-06-10 09:20:42 - INFO - Tab created successfully: Session Analysis
2026-06-10 09:20:44 - INFO - Tab created successfully: Recording
2026-06-10 09:20:45 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:46 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:46 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:47 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:47 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:48 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:48 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:48 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:49 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:49 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:50 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:50 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:51 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:51 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:51 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:52 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:52 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:53 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:53 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:53 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:54 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:54 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:55 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:55 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:55 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:56 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:56 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:57 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:57 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:57 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:57 - INFO - Tab created successfully: C3D Export
2026-06-10 09:20:58 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:58 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:59 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:59 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:20:59 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:00 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:00 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:01 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:01 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:02 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:02 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:02 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:03 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:03 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:03 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:03 - INFO - Tab created successfully: Batch C3D
2026-06-10 09:21:04 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:04 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:05 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:05 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:05 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:06 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:06 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:06 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
2026-06-10 09:21:06 - INFO - Tab created successfully: EMG Normalization
2026-06-10 09:21:07 - WARNING - CustomTkinter initialization issue for Video Analysis, retrying...
